product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_raw,id_web,id_web_raw,sku,sku_raw,total_sales,product_type,post_type,post_title,web_match_status
5709,1,31.7,0,outofstock,16.54,5709,15035,15035,15035,15035,5.0,Vin,product,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,both
5711,1,25.0,23,instock,12.4,5711,16121,16121,16121,16121,10.0,Vin,product,Albert Mann Riesling Cuvée Albert 2017,both
5712,1,57.6,0,outofstock,30.36,5712,14241,14241,14241,14241,0.0,Vin,product,Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015,both
5715,1,13.7,15,instock,7.29,5715,14982,14982,14982,14982,7.0,Vin,product,François Baur Gewurztraminer Herrenweg de Turckheim 2016,both
5722,1,7.1,38,instock,3.48,5722,15026,15026,15026,15026,14.0,Vin,product,Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018,both
5736,1,14.9,32,instock,7.31,5736,15116,15116,15116,15116,10.0,Vin,product,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,both
5737,1,11.0,25,instock,5.57,5737,15369,15369,15369,15369,8.0,Vin,product,Triennes IGP Méditerranée Rouge Les Auréliens 2016,both
5738,1,14.6,15,instock,7.17,5738,15566,15566,15566,15566,7.0,Vin,product,Triennes IGP Méditerranée Rouge Saint Auguste 2016,both
5739,1,10.7,13,instock,5.53,5739,16003,16003,16003,16003,4.0,Vin,product,Triennes IGP Méditerranée Rouge Merlot 2016,both
5741,1,73.3,4,instock,37.87,5741,15127,15127,15127,15127,2.0,Vin,product,Domaine Clerget Chambolle-Musigny Les Charmes 2015,both
5742,1,42.1,3,instock,22.84,5742,15125,15125,15125,15125,2.0,Vin,product,Domaine Clerget Chambolle-Musigny 2014,both
5743,1,57.0,7,instock,29.74,5743,14323,14323,14323,14323,4.0,Vin,product,Domaine Clerget Vosne-Romanée Les Violettes 2015,both
5747,1,24.5,12,instock,12.15,5747,15631,15631,15631,15631,5.0,Vin,product,Thibaud Boudignon Anjou Blanc 2018,both
5753,1,10.1,31,instock,5.01,5753,16147,16147,16147,16147,10.0,Vin,product,Château de la Selve Vin de France Petite Selve 2019,both
5756,1,42.2,9,instock,25.85,5756,7033,7033,7033,7033,5.0,Huile d'olive,product,Huile d'Olive Extra Vierge Planeta Selezione Chef 3L,both
5760,1,13.1,24,instock,8.43,5760,11258,11258,11258,11258,7.0,Huile d'olive,product,Huile d'Olive Extra Vierge Planeta 50cl,both
5761,1,19.5,125,instock,12.07,5761,13849,13849,13849,13849,10.0,Huile d'olive,product,Huiles d'Olive Extra Vierge Planeta 3x 10cl,both
5764,1,12.9,20,instock,6.33,5764,15818,15818,15818,15818,8.0,Vin,product,Parcé Frères Collioure Rouge Petit Gus 2018,both
5766,1,35.6,4,instock,17.66,5766,15179,15179,15179,15179,3.0,Vin,product,Camille Giroud Auxey-Duresses Blanc 2017,both
5767,1,175.0,12,instock,90.42,5767,15185,15185,15185,15185,4.0,Vin,product,Camille Giroud Clos de Vougeot 2016,both
5768,1,35.6,7,instock,18.21,5768,15183,15183,15183,15183,5.0,Vin,product,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,both
5769,1,33.6,6,instock,16.49,5769,15254,15254,15254,15254,5.0,Vin,product,Camille Giroud Marsannay Rouge Les Longeroies 2016,both
5770,1,34.4,19,instock,18.13,5770,15178,15178,15178,15178,10.0,Vin,product,Camille Giroud Santenay Blanc 2017,both
5771,1,38.4,6,instock,20.04,5771,15184,15184,15184,15184,3.0,Vin,product,Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016,both
5772,1,29.7,12,instock,15.04,5772,15180,15180,15180,15180,4.0,Vin,product,Camille Giroud Santenay Rouge 2016,both
5773,1,32.8,9,instock,17.79,5773,15264,15264,15264,15264,7.0,Vin,product,Decelle-Villa Auxey-Duresses Blanc 2017,both
5777,1,5.7,51,instock,3.03,5777,14338,14338,14338,14338,16.0,Vin,product,Maurel Pays d'Oc Cabernet-Sauvignon 2017,both
5778,1,5.8,44,instock,3.09,5778,15561,15561,15561,15561,17.0,Vin,product,Maurel Pays d'Oc Merlot 2018,both
5779,1,5.8,30,instock,2.88,5779,16213,16213,16213,16213,9.0,Vin,product,Maurel Pays d'Oc Syrah 2019,both
5794,1,21.7,15,instock,10.65,5794,14692,14692,14692,14692,5.0,Vin,product,Château Fonréaud Bordeaux Blanc Le Cygne 2016,both
5795,1,23.0,16,instock,11.29,5795,13291,13291,13291,13291,6.0,Vin,product,Château de Chantegrive Graves Blanc Caroline 2016,both
5796,1,12.5,21,instock,6.2,5796,13895,13895,13895,13895,8.0,Vin,product,Château Saransot-Dupré Bordeaux Blanc 2016,both
5797,1,17.2,29,instock,9.24,5797,15688,15688,15688,15688,11.0,Vin,product,Château Saransot-Dupré Listrac-Médoc 2016,both
5799,1,40.2,3,instock,19.94,5799,14461,14461,14461,14461,3.0,Vin,product,Château Carbonnieux Graves Blanc 2017,both
5800,0,32.3,0,outofstock,16.02,5800,14689,14689,,,,,,,left_only
5801,1,24.0,22,instock,12.9,5801,11277,11277,11277,11277,9.0,Vin,product,Château Monbrison Margaux Bouquet de Monbrison 2012,both
5802,1,23.8,34,instock,12.54,5802,15399,15399,15399,15399,11.0,Vin,product,Château Peymartin Saint-Julien 2014,both
5803,1,17.1,47,instock,9.19,5803,13572,13572,13572,13572,17.0,Vin,product,Château Tour Haut-Caussan Médoc 2015,both
5804,1,25.0,25,instock,12.4,5804,14955,14955,14955,14955,9.0,Vin,product,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,both
5805,0,29.2,0,outofstock,15.09,5805,,,,,,,,,left_only
5806,1,17.4,39,instock,8.99,5806,13567,13567,13567,13567,13.0,Vin,product,Château La Croix Meunier Saint-Emilion Grand Cru 2014,both
5807,1,27.3,12,instock,13.82,5807,15471,15471,15471,15471,4.0,Vin,product,Château d'Arcole Saint-Emilion Grand Cru 2016,both
5808,0,34.2,1,instock,18.55,5808,,,,,,,,,left_only
5809,1,17.9,32,instock,9.71,5809,15080,15080,15080,15080,11.0,Vin,product,Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,both
5810,1,24.0,27,instock,12.77,5810,14429,14429,14429,14429,11.0,Vin,product,Château Tour De Pez Saint-Estèphe 2017,both
5815,1,16.6,26,instock,9.01,5815,15238,15238,15238,15238,9.0,Vin,product,Maison Trimbach Muscat Réserve 2017,both
5816,1,16.9,32,instock,8.73,5816,15237,15237,15237,15237,11.0,Vin,product,Maison Trimbach Riesling 2017,both
5817,1,57.6,6,instock,28.87,5817,14600,14600,14600,14600,5.0,Vin,product,Maison Trimbach Riesling Grand Cru Geisberg 2012,both
5818,1,63.5,2,instock,32.48,5818,15241,15241,15241,15241,1.0,Vin,product,Maison Trimbach Riesling Grand Cru Schlossberg 2015,both
5819,1,56.0,6,instock,28.07,5819,11933,11933,11933,11933,4.0,Vin,product,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,both
5820,1,63.5,7,instock,32.48,5820,15240,15240,15240,15240,6.0,Vin,product,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,both
5826,1,41.2,34,instock,21.71,5826,15325,15325,15325,15325,20.0,Vin,product,Agnès Levet Côte Rôtie Améthyste 2017,both
5827,1,55.0,4,instock,29.55,5827,15328,15328,15328,15328,2.0,Vin,product,Agnès Levet Côte Rôtie Maestria 2017,both
5829,1,57.0,5,instock,29.74,5829,15329,15329,15329,15329,3.0,Vin,product,Agnès Levet Côte Rôtie Péroline 2017,both
5890,1,19.3,29,instock,9.77,5890,15775,15775,15775,15775,9.0,Vin,product,Saumaize-Michelin Saint-Véran Les Crèches 2018,both
5891,1,19.0,24,instock,9.72,5891,15774,15774,15774,15774,10.0,Vin,product,Saumaize-Michelin Viré-Clessé 2018,both
5892,1,191.3,98,instock,116.06,5892,14983,14983,14983,14983,6.0,Champagne,product,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,both
5893,1,26.6,13,instock,14.29,5893,13910,13910,13910,13910,5.0,Vin,product,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,both
5894,1,15.4,29,instock,7.56,5894,16539,16539,16539,16539,10.0,Vin,product,Thevenet Quintaine Viré-Clessé Emilian Gillet 2017,both
5896,1,24.7,23,instock,12.76,5896,15910,15910,15910,15910,11.0,Vin,product,Thevenet Quintaine Viré-Clessé La Bongran 2015,both
5899,1,28.1,35,instock,14.37,5899,12339,12339,12339,12339,11.0,Vin,product,Stéphane Tissot Arbois Blanc Les Bruyères 2015,both
5900,1,18.25,21,instock,8.96,5900,12869,12869,12869,12869,7.0,Vin,product,Stéphane Tissot Arbois D.D. 2016,both
5902,1,35.1,10,instock,18.14,5902,14095,14095,14095,14095,9.0,Vin,product,Stéphane Tissot Arbois Pinot Noir Sous La Tour 2016,both
5903,1,27.3,15,instock,13.82,5903,14099,14099,14099,14099,5.0,Vin,product,Stéphane Tissot Arbois Trousseau Singulier 2017,both
5904,1,18.8,27,instock,9.32,5904,15856,15856,15856,15856,13.0,Vin,product,Domaine de Montbourgeau Côtes du Jura Poulsard 2018,both
5905,1,43.9,6,instock,22.23,5905,12881,12881,12881,12881,6.0,Vin,product,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,both
5906,1,19.8,38,instock,9.72,5906,15857,15857,15857,15857,11.0,Vin,product,Domaine de Montbourgeau L'Etoile En Banode 2016,both
5907,1,17.7,14,instock,9.42,5907,12882,12882,12882,12882,6.0,Vin,product,Domaine de Montbourgeau Vin de Paille 2013,both
5912,1,57.0,4,instock,25.08,5912,15227,15227,15227,15227,2.0,Whisky,product,Kingsbarns Distillery Lowland Single Malt Whisky,both
5913,1,36.0,7,instock,17.16,5913,10014,10014,10014,10014,10.0,Gin,product,Darnley's London Dry Gin Original,both
5914,1,36.0,4,instock,17.16,5914,14265,14265,14265,14265,4.0,Gin,product,Darnley's London Dry Gin Spiced,both
5916,1,93.0,1,instock,40.49,5916,14774,14774,14774,14774,1.0,Whisky,product,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,both
5917,1,122.0,12,instock,54.24,5917,14775,14775,14775,14775,3.0,Whisky,product,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,both
5918,1,114.0,12,instock,52.25,5918,14773,14773,14773,14773,3.0,Whisky,product,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,both
5922,1,48.5,4,instock,24.31,5922,15343,15343,15343,15343,4.0,Vin,product,Albert Mann Pinot Noir Clos de la Faille 2017,both
5925,1,49.5,15,instock,25.06,5925,15351,15351,15351,15351,8.0,Vin,product,Albert Mann Riesling Grand Cru Furstentum 2017,both
5930,1,14.1,0,outofstock,6.92,5930,16323,16323,16323,16323,14.0,Vin,product,Borie La Vitarèle Languedoc Blanc Le Grand Mayol 2019,both
5932,1,59.9,13,instock,27.18,5932,523,523,523,523,0.0,Cognac,product,Cognac Normandin Mercier VFC,both
5950,1,46.0,4,instock,24.72,5950,15432,15432,15432,15432,3.0,Vin,product,Domaine de Vaccelli AOP Ajaccio Rouge Granit 2016,both
5951,1,74.5,4,instock,39.65,5951,16472,16472,16472,16472,2.0,Vin,product,Domaine de Vaccelli AOP Ajaccio Rouge Granit 174 2017,both
5952,0,42.5,0,outofstock,22.84,5952,,,,,,,,,left_only
5953,0,47.5,0,outofstock,23.81,5953,14379,14379,,,,,,,left_only
5954,0,18.8,0,outofstock,9.32,5954,15609,15609,,,,,,,left_only
5955,0,27.3,0,outofstock,13.68,5955,14377,14377,,,,,,,left_only
5956,1,17.2,32,instock,8.8,5956,15895,15895,15895,15895,12.0,Vin,product,Clos du Prieur Terrasses du Larzac 2018,both
5957,0,39.0,0,outofstock,20.75,5957,13577,13577,,,,,,,left_only
