,product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,id_web,total_sales,product_type,post_type,z_score,ca_par_article,part_ca,cumsum_ca,part_quantite,cumsum_quantite,rotation_mensuelle,mois_de_stock,valorisation_stock_euros,prix_vente_ht,taux_marge
447,4924.0,1.0,12.8,24.0,instock,6.28,16276,7.0,Vin,product,-0.7078362144891719,89.60000000000001,0.0006236075837920492,0.9799018792442372,0.0012171796209354895,0.8181185880716423,7.0,3.4285714285714284,150.72,10.666666666666668,0.41125000000000006
445,5760.0,1.0,13.1,24.0,instock,8.43,11258,7.0,Huile d'olive,product,-0.6969652046954462,91.7,0.0006382233865371753,0.9754934747400642,0.0012171796209354895,0.8156842288297713,7.0,3.4285714285714284,202.32,10.916666666666666,0.22778625954198473
136,4607.0,1.0,13.4,41.0,instock,7.13,15146,12.0,Vin,product,-0.6860941949017207,160.8,0.0011191528959125167,0.7421299122147046,0.0020865936358894104,0.3310728568944537,12.0,3.4166666666666665,292.33,11.166666666666668,0.3614925373134329
110,5375.0,1.0,15.2,41.0,instock,8.09,15755,12.0,Vin,product,-0.6208681361393671,182.39999999999998,0.0012694868670052428,0.6706565488192173,0.0020865936358894104,0.27682142236132873,12.0,3.4166666666666665,331.69,12.666666666666666,0.3613157894736842
9,6569.0,1.0,29.0,58.0,instock,15.28,15705,17.0,Vin,product,-0.12080168562798956,493.0,0.003431233692070092,0.12422945139932391,0.0029560076508433316,0.03877586506694489,17.0,3.411764705882353,886.24,24.166666666666668,0.36772413793103453
5,6129.0,1.0,5.2,68.0,instock,2.74,14570,20.0,Vin,product,-0.9832351292635537,104.0,0.0007238302311871999,0.9519745601513357,0.003477656059815684,0.026256303251608416,20.0,3.4,186.32000000000002,4.333333333333334,0.3676923076923077
251,5963.0,1.0,13.5,34.0,instock,6.63,15574,10.0,Vin,product,-0.6824705249704788,135.0,0.0009395873193295383,0.8528077305068692,0.001738828029907842,0.5416449313162935,10.0,3.4,225.42,11.25,0.4106666666666667
243,4610.0,1.0,13.1,34.0,instock,6.5,15801,10.0,Vin,product,-0.6969652046954462,131.0,0.0009117476950531075,0.8657684675887616,0.001738828029907842,0.5277343070770305,10.0,3.4,221.0,10.916666666666666,0.4045801526717557
528,4673.0,1.0,19.8,17.0,instock,10.33,16057,5.0,Vin,product,-0.4541793193022412,99.0,0.0006890307008416614,0.9668381355525217,0.000869414014953921,0.9019300991131984,5.0,3.4,175.61,16.5,0.37393939393939396
218,4912.0,1.0,25.9,34.0,instock,12.98,15612,10.0,Vin,product,-0.23313545349648745,259.0,0.001802615671898892,0.4317135775935569,0.001738828029907842,0.484263606329334,10.0,3.4,441.32,21.583333333333332,0.3986100386100386
228,4931.0,1.0,27.8,34.0,instock,15.08,16280,10.0,Vin,product,-0.16428572480289194,278.0,0.001934853887211938,0.3777753495438826,0.001738828029907842,0.5016518866284123,10.0,3.4,512.72,23.166666666666668,0.3490647482014389
21,6093.0,1.0,12.6,51.0,instock,6.71,15487,15.0,Vin,product,-0.7150835543516556,189.0,0.0013154222470613537,0.6448774047345459,0.0026082420448617634,0.07163971483220312,15.0,3.4,342.21,10.5,0.36095238095238097
30,4159.0,1.0,9.3,51.0,instock,4.9,15668,15.0,Vin,product,-0.8346646620826371,139.5,0.0009709068966405229,0.8297871451926884,0.0026082420448617634,0.095113893235959,15.0,3.4,249.9,7.750000000000001,0.367741935483871
68,4156.0,1.0,20.35,44.0,instock,10.3,14941,13.0,Vin,product,-0.43424913468041093,264.55,0.0018412431505824397,0.4097856975322261,0.0022604764388801948,0.18501130238219451,13.0,3.3846153846153846,453.20000000000005,16.958333333333336,0.39262899262899265
350,4066.0,1.0,20.8,27.0,instock,10.42,15967,8.0,Vin,product,-0.4179426199898226,166.4,0.0011581283698995199,0.7250503027211145,0.0013910624239262736,0.6936185011302409,8.0,3.375,281.34,17.333333333333336,0.3988461538461539
346,4789.0,1.0,11.1,27.0,instock,5.96,15316,8.0,Vin,product,-0.7694386033202836,88.8,0.0006180396589367629,0.980519918903174,0.0013910624239262736,0.6880542514345358,8.0,3.375,160.92,9.25,0.3556756756756757
14,4863.0,1.0,8.2,54.0,instock,4.11,16255,16.0,Vin,product,-0.8745250313262978,131.2,0.0009131396762669289,0.8648567198937085,0.0027821248478525473,0.05286037210919842,16.0,3.375,221.94000000000003,6.833333333333333,0.39853658536585357
358,4734.0,1.0,15.3,27.0,instock,8.22,16138,8.0,Vin,product,-0.6172444662081252,122.4,0.0008518925028587815,0.8903296281113391,0.0013910624239262736,0.7047470005216512,8.0,3.375,221.94000000000003,12.750000000000002,0.35529411764705887
344,4085.0,1.0,19.0,27.0,instock,9.82,16462,8.0,Vin,product,-0.4831686787521762,152.0,0.001057905722504369,0.779089797404094,0.0013910624239262736,0.6852721265866832,8.0,3.375,265.14,15.833333333333334,0.3797894736842105
359,4791.0,1.0,13.6,27.0,instock,7.38,14599,8.0,Vin,product,-0.6788468550392369,108.8,0.0007572377803189168,0.9401406318620321,0.0013910624239262736,0.7061380629455775,8.0,3.375,199.26,11.333333333333334,0.34882352941176475
0,4867.0,1.0,9.9,121.0,instock,4.86,16148,36.0,Vin,product,-0.8129226424951861,356.40000000000003,0.0024805105230299813,0.2279932990024367,0.006259780907668232,0.006259780907668232,36.0,3.361111111111111,588.0600000000001,8.25,0.4109090909090909
44,4755.0,1.0,7.4,47.0,instock,3.98,16132,14.0,Vin,product,-0.9035143907762327,103.60000000000001,0.0007210462687595569,0.9541432668824696,0.002434359241870979,0.12989045383411588,14.0,3.357142857142857,187.06,6.166666666666667,0.35459459459459464
94,5960.0,1.0,12.7,40.0,instock,6.36,15892,12.0,Vin,product,-0.7114598844204137,152.39999999999998,0.001060689684932012,0.7769712019966576,0.0020865936358894104,0.243435924187098,12.0,3.3333333333333335,254.4,10.583333333333334,0.39905511811023625
639,4788.0,1.0,12.3,10.0,instock,6.29,15731,3.0,Vin,product,-0.7259545641453812,36.900000000000006,0.0002568205339500738,0.9996791483302135,0.0005216484089723526,0.9819161884889563,3.0,3.3333333333333335,62.9,10.250000000000002,0.38634146341463427
638,5383.0,1.0,19.5,10.0,instock,10.18,3383,3.0,Vin,product,-0.46505032909596683,58.5,0.0004071545050427999,0.9984033975477461,0.0005216484089723526,0.981394540079984,3.0,3.3333333333333335,101.8,16.25,0.37353846153846154
323,4892.0,1.0,20.1,30.0,instock,10.9,15952,9.0,Vin,product,-0.4433083095085156,180.9,0.0012590470079015814,0.6744371697959566,0.001564945226917058,0.6553642844722681,9.0,3.3333333333333335,327.0,16.750000000000004,0.3492537313432837
296,4739.0,1.0,7.4,30.0,instock,3.75,14366,9.0,Vin,product,-0.9035143907762327,66.60000000000001,0.0004635297442025723,0.9966752528707866,0.001564945226917058,0.613110763345507,9.0,3.3333333333333335,112.5,6.166666666666667,0.39189189189189194
272,6049.0,1.0,21.8,30.0,instock,10.81,14899,9.0,Vin,product,-0.3817059206774039,196.20000000000002,0.0013655335707589292,0.6140317970268677,0.001564945226917058,0.575552077899497,9.0,3.3333333333333335,324.3,18.166666666666668,0.404954128440367
22,4204.0,1.0,11.3,50.0,instock,5.96,15414,15.0,Vin,product,-0.7621912634577999,169.5,0.0011797040787137536,0.7087000913835669,0.0026082420448617634,0.07424795687706488,15.0,3.3333333333333335,298.0,9.416666666666668,0.3670796460176992
271,4062.0,1.0,11.9,30.0,instock,6.27,16320,9.0,Vin,product,-0.7404492438703487,107.10000000000001,0.0007454059400014338,0.9438920212332811,0.001564945226917058,0.57398713267258,9.0,3.3333333333333335,188.1,9.916666666666668,0.3677310924369749
306,5779.0,1.0,5.8,30.0,instock,2.88,16213,9.0,Vin,product,-0.9614931096761025,52.199999999999996,0.00036330709680742145,0.9987667046445535,0.001564945226917058,0.6287602156146778,9.0,3.3333333333333335,86.39999999999999,4.833333333333333,0.40413793103448276
325,4153.0,1.0,29.0,30.0,instock,15.13,16237,9.0,Vin,product,-0.12080168562798956,261.0,0.0018165354840371075,0.4280944264376209,0.001564945226917058,0.6584941749261023,9.0,3.3333333333333335,453.90000000000003,24.166666666666668,0.3739310344827586
320,4228.0,1.0,29.9,30.0,instock,16.07,12657,9.0,Vin,product,-0.08818865624681281,269.09999999999997,0.0018729107231968793,0.3986634196384885,0.001564945226917058,0.6506694487915169,9.0,3.3333333333333335,482.1,24.916666666666668,0.3550501672240803
317,4704.0,1.0,18.2,30.0,instock,9.22,15004,9.0,Vin,product,-0.5121580382021111,163.79999999999998,0.0011400326141198396,0.7342325067980883,0.001564945226917058,0.6459746131107656,9.0,3.3333333333333335,276.6,15.166666666666666,0.39208791208791205
65,4182.0,1.0,16.7,43.0,instock,8.46,15747,13.0,Vin,product,-0.5665130871707391,217.1,0.0015109956076032798,0.5450243283516646,0.0022604764388801948,0.17822987306555393,13.0,3.3076923076923075,363.78000000000003,13.916666666666666,0.39209580838323344
63,4181.0,1.0,11.9,43.0,instock,6.21,16560,13.0,Vin,product,-0.7404492438703487,154.70000000000002,0.0010766974688909599,0.7684251333344002,0.0022604764388801948,0.17370892018779355,13.0,3.3076923076923075,267.03,9.916666666666668,0.3737815126050421
54,4262.0,1.0,15.8,43.0,instock,8.33,15663,13.0,Vin,product,-0.5991261165519158,205.4,0.0014295647065947197,0.5861935647316506,0.0022604764388801948,0.1533646322378718,13.0,3.3076923076923075,358.19,13.166666666666668,0.3673417721518988
50,4174.0,1.0,5.7,43.0,instock,2.92,16209,13.0,Vin,product,-0.9651167796073444,74.10000000000001,0.0005157290397208799,0.9952693518448269,0.0022604764388801948,0.14432272648235103,13.0,3.3076923076923075,125.56,4.75,0.38526315789473686
205,4297.0,1.0,19.0,33.0,instock,10.31,16246,10.0,Vin,product,-0.4831686787521762,190.0,0.0013223821531304612,0.6382947255743838,0.001738828029907842,0.4616588419405323,10.0,3.3,340.23,15.833333333333334,0.3488421052631579
194,4155.0,1.0,14.5,33.0,instock,7.27,14944,10.0,Vin,product,-0.6462338256580602,145.0,0.0010091863800206153,0.8120122410827942,0.001738828029907842,0.44253173361154624,10.0,3.3,239.91,12.083333333333334,0.398344827586207
446,4939.0,1.0,12.9,23.0,instock,6.53,15338,7.0,Vin,product,-0.70421254455793,90.3,0.0006284795180404245,0.9786518801142254,0.0012171796209354895,0.8169014084507068,7.0,3.2857142857142856,150.19,10.75,0.3925581395348837
400,4799.0,1.0,14.9,23.0,instock,7.39,15811,7.0,Vin,product,-0.6317391459330928,104.3,0.0007259182030079322,0.9505268996889614,0.0012171796209354895,0.7609111458876746,7.0,3.2857142857142856,169.97,12.416666666666668,0.40483221476510073
